offset2,cue-loc-int,refi,radius,ntrials,ms-st-cue,npractice,resp-h-pos,ms-stimon,actualStimOn,version,bars-or-spot,nitems,resp-h-hv,resp-v-hv,offset,cue-length,resp-v-pos,cue-loc-x,cue-loc-y,ms-precue
0,2,4,5.3,400.0,400.0,10.0,0,100.0,0.10327601432800293,-1,1,22.0,1,2,0,3.1,0,2.865396332514667,4.4586437240052605,0.0
0,8,10,5.3,400.0,400.0,10.0,1,100.0,0.10326409339904785,-1,1,22.0,1,2,0,3.1,0,4.005472744077569,-3.47076188991001,0.0
0,13,15,5.3,400.0,400.0,10.0,1,100.0,0.10316300392150879,-1,1,22.0,2,2,0,3.1,-1,-2.865396332514667,-4.4586437240052605,0.0
0,9,11,5.3,400.0,400.0,10.0,1,100.0,0.10325884819030762,-1,1,22.0,1,2,0,3.1,0,2.8653963325146665,-4.4586437240052605,0.0
0,5,7,5.3,400.0,400.0,10.0,0,100.0,0.10322093963623047,-1,1,22.0,1,2,0,3.1,2,5.246053641968943,0.7542686428484122,0.0
0,3,5,5.3,400.0,400.0,10.0,1,100.0,0.10329103469848633,-1,1,22.0,1,2,0,3.1,-2,4.005472744077569,3.470761889910011,0.0
0,20,0,5.3,400.0,400.0,10.0,-2,100.0,0.10327291488647461,-1,1,22.0,2,2,0,3.1,1,-2.8653963325146705,4.458643724005258,0.0
0,4,6,5.3,400.0,400.0,10.0,0,100.0,0.10328888893127441,-1,1,22.0,1,2,0,3.1,1,4.821049575378947,2.201699568909998,0.0
0,10,12,5.3,400.0,400.0,10.0,-1,100.0,0.10327982902526855,-1,1,22.0,1,1,0,3.1,-2,1.4931825512595793,-5.085312760156835,0.0
0,17,19,5.3,400.0,400.0,10.0,0,100.0,0.10309910774230957,-1,1,22.0,1,2,0,3.1,1,-5.246053641968944,0.7542686428484098,0.0
0,3,5,5.3,400.0,400.0,10.0,-1,100.0,0.10327005386352539,-1,1,22.0,2,2,0,3.1,0,4.005472744077569,3.470761889910011,0.0
0,19,21,5.3,400.0,400.0,10.0,0,100.0,0.10327792167663574,-1,1,22.0,2,1,0,3.1,2,-4.005472744077568,3.470761889910012,0.0
0,4,6,5.3,400.0,400.0,10.0,0,100.0,0.10327315330505371,-1,1,22.0,1,1,0,3.1,2,4.821049575378947,2.201699568909998,0.0
0,17,19,5.3,400.0,400.0,10.0,0,100.0,0.10328388214111328,-1,1,22.0,2,1,0,3.1,-1,-5.246053641968944,0.7542686428484098,0.0
0,10,12,5.3,400.0,400.0,10.0,1,100.0,0.10333800315856934,-1,1,22.0,2,1,0,3.1,1,1.4931825512595793,-5.085312760156835,0.0
0,21,1,5.3,400.0,400.0,10.0,0,100.0,0.10376191139221191,-1,1,22.0,2,2,0,3.1,-2,-1.4931825512595778,5.085312760156836,0.0
0,12,14,5.3,400.0,400.0,10.0,-2,100.0,0.10326886177062988,-1,1,22.0,1,2,0,3.1,0,-1.4931825512595758,-5.085312760156836,0.0
0,7,9,5.3,400.0,400.0,10.0,0,100.0,0.10325908660888672,-1,1,22.0,1,2,0,3.1,-1,4.8210495753789475,-2.2016995689099974,0.0
0,10,12,5.3,400.0,400.0,10.0,0,100.0,0.10327386856079102,-1,1,22.0,1,1,0,3.1,2,1.4931825512595793,-5.085312760156835,0.0
0,3,5,5.3,400.0,400.0,10.0,0,100.0,0.1032719612121582,-1,1,22.0,1,2,0,3.1,0,4.005472744077569,3.470761889910011,0.0
0,0,2,5.3,400.0,400.0,10.0,1,100.0,0.10327291488647461,-1,1,22.0,2,2,0,3.1,0,0.0,5.3,0.0
0,17,19,5.3,400.0,400.0,10.0,0,100.0,0.10326194763183594,-1,1,22.0,1,2,0,3.1,-1,-5.246053641968944,0.7542686428484098,0.0
0,9,11,5.3,400.0,400.0,10.0,0,100.0,0.1033029556274414,-1,1,22.0,2,1,0,3.1,2,2.8653963325146665,-4.4586437240052605,0.0
0,10,12,5.3,400.0,400.0,10.0,-2,100.0,0.10326814651489258,-1,1,22.0,2,2,0,3.1,0,1.4931825512595793,-5.085312760156835,0.0
0,1,3,5.3,400.0,400.0,10.0,-1,100.0,0.10326504707336426,-1,1,22.0,1,1,0,3.1,2,1.493182551259577,5.085312760156836,0.0
0,5,7,5.3,400.0,400.0,10.0,0,100.0,0.10326695442199707,-1,1,22.0,1,1,0,3.1,-1,5.246053641968943,0.7542686428484122,0.0
0,14,16,5.3,400.0,400.0,10.0,-2,100.0,0.10337305068969727,-1,1,22.0,1,1,0,3.1,1,-4.005472744077568,-3.4707618899100114,0.0
0,11,13,5.3,400.0,400.0,10.0,-2,100.0,0.1032569408416748,-1,1,22.0,1,2,0,3.1,0,6.490413675258599e-16,-5.3,0.0
0,11,13,5.3,400.0,400.0,10.0,0,100.0,0.10326600074768066,-1,1,22.0,1,2,0,3.1,0,6.490413675258599e-16,-5.3,0.0
0,20,0,5.3,400.0,400.0,10.0,-1,100.0,0.10318613052368164,-1,1,22.0,1,1,0,3.1,2,-2.8653963325146705,4.458643724005258,0.0
0,15,17,5.3,400.0,400.0,10.0,1,100.0,0.10327696800231934,-1,1,22.0,2,2,0,3.1,-2,-4.821049575378945,-2.201699568910002,0.0
0,21,1,5.3,400.0,400.0,10.0,-1,100.0,0.10324406623840332,-1,1,22.0,1,2,0,3.1,0,-1.4931825512595778,5.085312760156836,0.0
0,5,7,5.3,400.0,400.0,10.0,0,100.0,0.10326290130615234,-1,1,22.0,1,2,0,3.1,-2,5.246053641968943,0.7542686428484122,0.0
0,18,20,5.3,400.0,400.0,10.0,-1,100.0,0.10326004028320312,-1,1,22.0,1,2,0,3.1,2,-4.821049575378947,2.20169956891,0.0
0,14,16,5.3,400.0,400.0,10.0,0,100.0,0.10324597358703613,-1,1,22.0,2,2,0,3.1,-1,-4.005472744077568,-3.4707618899100114,0.0
0,5,7,5.3,400.0,400.0,10.0,1,100.0,0.1032419204711914,-1,1,22.0,1,2,0,3.1,1,5.246053641968943,0.7542686428484122,0.0
0,21,1,5.3,400.0,400.0,10.0,0,100.0,0.10329794883728027,-1,1,22.0,2,2,0,3.1,-1,-1.4931825512595778,5.085312760156836,0.0
0,2,4,5.3,400.0,400.0,10.0,2,100.0,0.10328102111816406,-1,1,22.0,1,1,0,3.1,-2,2.865396332514667,4.4586437240052605,0.0
0,6,8,5.3,400.0,400.0,10.0,0,100.0,0.10327696800231934,-1,1,22.0,1,2,0,3.1,-2,5.246053641968944,-0.7542686428484106,0.0
0,19,21,5.3,400.0,400.0,10.0,-1,100.0,0.10312318801879883,-1,1,22.0,1,1,0,3.1,0,-4.005472744077568,3.470761889910012,0.0
0,15,17,5.3,400.0,400.0,10.0,0,100.0,0.10326790809631348,-1,1,22.0,1,2,0,3.1,-2,-4.821049575378945,-2.201699568910002,0.0
0,17,19,5.3,400.0,400.0,10.0,-1,100.0,0.10309481620788574,-1,1,22.0,2,1,0,3.1,2,-5.246053641968944,0.7542686428484098,0.0
0,3,5,5.3,400.0,400.0,10.0,1,100.0,0.10325908660888672,-1,1,22.0,2,1,0,3.1,0,4.005472744077569,3.470761889910011,0.0
0,19,21,5.3,400.0,400.0,10.0,1,100.0,0.1033928394317627,-1,1,22.0,1,2,0,3.1,0,-4.005472744077568,3.470761889910012,0.0
0,21,1,5.3,400.0,400.0,10.0,-1,100.0,0.10397696495056152,-1,1,22.0,2,2,0,3.1,0,-1.4931825512595778,5.085312760156836,0.0
0,13,15,5.3,400.0,400.0,10.0,2,100.0,0.10333395004272461,-1,1,22.0,2,2,0,3.1,1,-2.865396332514667,-4.4586437240052605,0.0
0,15,17,5.3,400.0,400.0,10.0,0,100.0,0.1032719612121582,-1,1,22.0,2,1,0,3.1,0,-4.821049575378945,-2.201699568910002,0.0
0,19,21,5.3,400.0,400.0,10.0,2,100.0,0.10328197479248047,-1,1,22.0,2,1,0,3.1,-1,-4.005472744077568,3.470761889910012,0.0
0,21,1,5.3,400.0,400.0,10.0,0,100.0,0.10313200950622559,-1,1,22.0,2,1,0,3.1,1,-1.4931825512595778,5.085312760156836,0.0
0,16,18,5.3,400.0,400.0,10.0,1,100.0,0.10309314727783203,-1,1,22.0,1,1,0,3.1,-2,-5.246053641968943,-0.7542686428484117,0.0
0,2,4,5.3,400.0,400.0,10.0,1,100.0,0.10328197479248047,-1,1,22.0,1,2,0,3.1,0,2.865396332514667,4.4586437240052605,0.0
0,7,9,5.3,400.0,400.0,10.0,2,100.0,0.10327887535095215,-1,1,22.0,1,2,0,3.1,0,4.8210495753789475,-2.2016995689099974,0.0
0,10,12,5.3,400.0,400.0,10.0,-2,100.0,0.10326004028320312,-1,1,22.0,2,2,0,3.1,1,1.4931825512595793,-5.085312760156835,0.0
0,17,19,5.3,400.0,400.0,10.0,1,100.0,0.10327410697937012,-1,1,22.0,1,2,0,3.1,1,-5.246053641968944,0.7542686428484098,0.0
0,16,18,5.3,400.0,400.0,10.0,0,100.0,0.10326504707336426,-1,1,22.0,2,1,0,3.1,0,-5.246053641968943,-0.7542686428484117,0.0
